# e621 계열 어휘 — Danbooru 학습 모델이 못 그린다(정책 제외 아님)
# 태그	빈도	서브그룹
transformation through sex	2439	-
announcing orgasm	2428	-
hand on another's butt	2423	-
liquid latex	2422	-
cum on partner	2416	-
ball worship	2415	-
glowing cum	2413	-
overstimulation	2412	-
cum dripping from penis	2406	-
multiple orgasms	2388	-
ribbed penis	2378	-
anus focus	2374	-
presenting cum inside	2373	-
transparent sex toy	2369	-
tongue penetration	2368	-
vibrator in vagina	2368	-
glistening vulva	2366	-
breast jiggle	2357	-
monotone penis	2356	-
cum on own tongue	2348	-
foot on penis	2337	-
intersex/ambiguous	2333	-
imminent orgasm	2325	-
sofa sex	2321	-
slightly chubby intersex	2310	-
glowing vulva	2303	-
handjob while penetrating	2281	-
two doms one sub	2266	-
vibrator in ass	2257	-
explicitly stated nonconsent	2254	-
glistening glans	2243	-
ffm	2226	-
comparing penis	2217	-
shower sex	2210	-
touching penis	2206	-
wrapped condom	2204	-
unwanted cum inside	2201	-
leather cuffs	2199	-
mostly nude intersex	2194	-
stockings only	2190	-
penis in penis	2183	-
stroking penis	2179	-
micropenis	2178	-
feline vulva	2161	-
genital close-up	2153	-
cumshot in mouth	2143	-
child on child	2141	taboo
living condom	2140	-
explicitly stated consent	2139	-
nubbed penis	2132	-
penis towards viewer	2126	-
anus only	2123	-
detailed anus	2111	-
father penetrating son	2104	-
crotch shot	2100	-
jewel buttplug	2088	-
nipple clamp	2087	-
cum on perineum	2082	-
tentacle around leg	2082	-
intelligence loss	2078	-
hugging penis	2075	-
licking another	2067	-
athletic intersex	2064	-
intersex on bottom	2062	-
bisexual pride colors	2057	-
leaking vagina	2054	-
cum between breasts	2049	-
penis everywhere	2048	-
vaginal squirting while penetrated	2042	-
wide crotch	2038	-
multi balls	2037	-
reddened butt	2026	-
stated sexuality	2026	-
cum on own balls	2023	-
male dominating female	2021	-
leaking anus	2018	-
mostly nude gynomorph	2018	-
dominant humanoid	2017	-
genital shot	2000	-
cum in a cup	1996	-
holding another's penis	1993	-
cum on head	1989	-
intersex on top	1983	-
voluptuous gynomorph	1968	-
sweaty anus	1961	-
non-euclidean sex	1958	-
insemination request	1957	-
cloaca juice	1954	-
countershade genitalia	1952	-
pussy tape	1951	-
cum explosion	1942	-
penis in face	1934	-
spontaneous ejaculation	1926	-
free use	1926	-
xenophilia	1925	-
unwanted ejaculation	1922	-
oral request	1920	-
gradient penis	1917	-
sheath cage	1906	-
vulva focus	1902	-
goo-connected lips	1900	-
older intersex	1898	-
sheath piercing	1895	-
lipsticking	1895	-
sheath play	1890	-
slightly chubby gynomorph	1889	-
safe sex	1882	-
upskirt sex	1881	-
vaginal fluids on vulva	1876	-
bodyguard position	1869	-
nipple tuft	1862	-
